id,sentiment,positive,negative,neutral
866,Positive,1,0,1
867,Neutral,0,0,5
868,Negative,0,1,1
869,Neutral,0,0,2
870,Positive,1,0,2
871,Positive,1,0,1
872,Neutral,0,0,3
873,Mixed,1,1,0
874,Neutral,0,0,2
875,Positive,2,0,2
876,Mixed,1,1,1
877,Neutral,0,0,1
878,Positive,1,0,3
879,Neutral,0,0,2
880,Neutral,0,0,1
881,Negative,0,2,0
882,Positive,2,0,0
883,Neutral,0,0,1
884,Neutral,0,0,1
885,Positive,2,0,0
886,Negative,0,1,0
887,Neutral,0,0,1
888,Neutral,0,0,1
889,Negative,0,1,2
890,Positive,1,0,0
891,Positive,1,0,0
892,Positive,1,0,1
893,Positive,1,0,1
894,Positive,1,0,0
895,Negative,0,1,2
896,Positive,1,0,0
897,Positive,2,0,2
898,Negative,0,1,1
899,Positive,1,0,1
900,Negative,0,1,0
901,Positive,1,0,4
902,Positive,1,0,0
903,Positive,1,0,1
904,Positive,1,0,0
905,Neutral,0,0,1
906,Positive,1,0,3
907,Neutral,0,0,3
908,Neutral,0,0,1
909,Negative,0,1,0
910,Neutral,0,0,1
911,Neutral,0,0,1
912,Neutral,0,0,1
913,Neutral,0,0,1
914,Mixed,1,1,1
915,Neutral,0,0,1
916,Negative,0,1,2
917,Negative,0,1,2
918,Positive,1,0,0
919,Neutral,0,0,1
920,Neutral,0,0,1
921,Neutral,0,0,1
922,Neutral,0,0,1
923,Neutral,0,0,1
924,Neutral,0,0,1
925,Neutral,0,0,1
926,Neutral,0,0,1
927,Neutral,0,0,2
928,Positive,1,0,0
929,Neutral,0,0,1
930,Neutral,0,0,1
931,Negative,0,1,0
932,Neutral,0,0,1
933,Neutral,0,0,1
934,Negative,0,1,0
935,Neutral,0,0,2
936,Neutral,0,0,3
937,Neutral,0,0,1
938,Neutral,0,0,1
939,Neutral,0,0,1
940,Neutral,0,0,5
941,Neutral,0,0,4
942,Neutral,0,0,1
943,Neutral,0,0,1
944,Negative,0,1,0
945,Negative,0,1,1
946,Neutral,0,0,2
947,Neutral,0,0,3
948,Negative,0,1,0
949,Neutral,0,0,2
950,Neutral,0,0,1
951,Neutral,0,0,1
952,Neutral,0,0,2
953,Neutral,0,0,3
954,Neutral,0,0,2
955,Neutral,0,0,1
956,Neutral,0,0,1
957,Negative,0,1,1
958,Negative,0,1,1
959,Negative,0,1,0
960,Neutral,0,0,2
961,Positive,1,0,1
962,Negative,0,1,0
963,Positive,1,0,0
964,Negative,0,2,1
965,Neutral,0,0,2
966,Neutral,0,0,1
967,Neutral,0,0,1
968,Neutral,0,0,1
969,Neutral,0,0,1
970,Positive,1,0,1
971,Neutral,0,0,1
972,Positive,1,0,4
973,Mixed,1,1,0
974,Mixed,1,1,0
975,Mixed,1,1,0
976,Neutral,0,0,1
977,Neutral,0,0,1
978,Neutral,0,0,1
979,Positive,1,0,0
980,Neutral,0,0,1
981,Neutral,0,0,1
982,Negative,0,1,1
983,Negative,0,1,1
984,Negative,0,1,0
985,Positive,1,0,1
986,Positive,1,0,1
987,Positive,1,0,0
988,Neutral,0,0,1
989,Neutral,0,0,1
990,Positive,1,0,1
991,Neutral,0,0,1
992,Neutral,0,0,3
993,Mixed,1,1,2
994,Mixed,1,1,2
995,Negative,0,1,3
996,Neutral,0,0,1
997,Neutral,0,0,1
998,Negative,0,1,0
999,Negative,0,1,0
1000,Neutral,0,0,1
1001,Neutral,0,0,1
1002,Neutral,0,0,1
1003,Mixed,2,1,0
1004,Neutral,0,0,1
1005,Negative,0,2,0
1006,Neutral,0,0,1
1007,Positive,1,0,1
1008,Negative,0,3,2
1009,Neutral,0,0,2
1010,Neutral,0,0,1
1011,Neutral,0,0,1
1012,Positive,1,0,1
1013,Positive,1,0,1
1014,Neutral,0,0,2
1015,Positive,1,0,2
1016,Negative,0,1,0
1017,Neutral,0,0,3
1018,Neutral,0,0,1
1019,Neutral,0,0,1
1020,Neutral,0,0,1
1021,Negative,0,1,1
1022,Negative,0,1,1
1023,Negative,0,1,1
1024,Negative,0,1,1
1025,Neutral,0,0,1
1026,Neutral,0,0,1
1027,Negative,0,2,1
1028,Neutral,0,0,2
1029,Negative,0,1,0
1030,Negative,0,1,0
1031,Negative,0,1,0
1032,Neutral,0,0,1
1033,Negative,0,1,0
1034,Neutral,0,0,1
1035,Neutral,0,0,1
1036,Negative,0,2,0
1037,Positive,1,0,2
1038,Negative,0,1,1
1039,Mixed,1,1,3
1040,Positive,1,0,1
1041,Negative,0,2,0
1042,Negative,0,2,1
1043,Negative,0,2,2
1044,Negative,0,1,2
1045,Positive,1,0,1
1046,Negative,0,1,1
1047,Neutral,0,0,3
1048,Neutral,0,0,2
1049,Negative,0,1,0
1050,Neutral,0,0,2
1051,Neutral,0,0,3
1052,Neutral,0,0,2
1053,Mixed,1,1,1
1054,Mixed,1,1,2
1055,Positive,1,0,1
1056,Neutral,0,0,1
1057,Negative,0,1,1
1058,Neutral,0,0,1
1059,Negative,0,1,2
1060,Positive,2,0,1
1061,Neutral,0,0,1
1062,Positive,2,0,1
1063,Neutral,0,0,1
1064,Neutral,0,0,1
1065,Neutral,0,0,1
1066,Neutral,0,0,1
1067,Neutral,0,0,1
1068,Neutral,0,0,1
1069,Neutral,0,0,1
1070,Mixed,1,1,0
1071,Negative,0,1,0
1072,Negative,0,1,0
1073,Neutral,0,0,2
1074,Neutral,0,0,2
1075,Positive,1,0,0
1076,Neutral,0,0,1
1077,Neutral,0,0,1
1078,Neutral,0,0,3
1079,Negative,0,1,0
1080,Negative,0,1,0
1081,Neutral,0,0,1
1082,Neutral,0,0,1
1083,Neutral,0,0,1
1084,Neutral,0,0,1
1085,Neutral,0,0,1
1086,Neutral,0,0,1
1087,Neutral,0,0,1
1088,Neutral,0,0,1
1089,Mixed,2,1,1
1090,Negative,0,2,2
1091,Neutral,0,0,1
1092,Neutral,0,0,1
1093,Positive,1,0,0
1094,Neutral,0,0,1
1095,Neutral,0,0,1
1096,Neutral,0,0,1
1097,Neutral,0,0,1
1098,Neutral,0,0,1
1099,Neutral,0,0,1
1100,Neutral,0,0,1
1101,Neutral,0,0,1
