Unnamed: 0.1,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count,keyPhrases,keyWord
12753,17,255452495,swanireland,2018-05-14,Why do need ? Flood mitigation and water quality are a couple of critical to begin this question across ' s landscape . flooding,Mixed,1,1,1,"['Flood mitigation', 'water quality', 'couple', 'question', 'landscape', 'flooding']",landscape
12753,17,255452495,swanireland,2018-05-14,Why do need ? Flood mitigation and water quality are a couple of critical to begin this question across ' s landscape . flooding,Mixed,1,1,1,"['Flood mitigation', 'water quality', 'couple', 'question', 'landscape', 'flooding']",flooding
12769,13,362762325,joshuagarfield,2018-07-29,"Fellow Mayor + are keeping me about flood outside . doing their best to contain leak & ; protect , & ; are water to affected . AVOID AREA",Mixed,1,1,3,"['Fellow Mayor', 'AVOID AREA', 'flood', 'leak', 'water']",Fellow Mayor
12769,13,362762325,joshuagarfield,2018-07-29,"Fellow Mayor + are keeping me about flood outside . doing their best to contain leak & ; protect , & ; are water to affected . AVOID AREA",Mixed,1,1,3,"['Fellow Mayor', 'AVOID AREA', 'flood', 'leak', 'water']",AVOID AREA
12769,13,362762325,joshuagarfield,2018-07-29,"Fellow Mayor + are keeping me about flood outside . doing their best to contain leak & ; protect , & ; are water to affected . AVOID AREA",Mixed,1,1,3,"['Fellow Mayor', 'AVOID AREA', 'flood', 'leak', 'water']",flood
12769,13,362762325,joshuagarfield,2018-07-29,"Fellow Mayor + are keeping me about flood outside . doing their best to contain leak & ; protect , & ; are water to affected . AVOID AREA",Mixed,1,1,3,"['Fellow Mayor', 'AVOID AREA', 'flood', 'leak', 'water']",leak
12769,13,362762325,joshuagarfield,2018-07-29,"Fellow Mayor + are keeping me about flood outside . doing their best to contain leak & ; protect , & ; are water to affected . AVOID AREA",Mixed,1,1,3,"['Fellow Mayor', 'AVOID AREA', 'flood', 'leak', 'water']",water
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",gin o ' clock
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",driest summer
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",fast flow
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",Good job
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",cause
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",Aire
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",flood
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",red
12771,15,2190151886,markellisbowes,2018-07-29,"Well , after the driest summer since I was born , here we are after just a few , trapped in ' cause the Aire is in flood ( well on red with a fast flow )... Good job we ' re going the other way tomorrow ... Sorry are trapped too . Lucky its gin o ' clock",Mixed,2,2,0,"[""gin o ' clock"", 'driest summer', 'fast flow', 'Good job', 'cause', 'Aire', 'flood', 'red', 'Sorry']",Sorry
12775,19,272851963,lewywatson,2018-07-29,"If it , we have . If it ’ s sunny , we ’ re struggling with the heat , if it ’ s the country comes to a stand still . - the country that can ’ t deal with any type of weather , love it 󠁧󠁢󠁳󠁣󠁴󠁿",Mixed,1,1,1,"['heat', 'country', 'stand', 'type', 'weather']",heat
12775,19,272851963,lewywatson,2018-07-29,"If it , we have . If it ’ s sunny , we ’ re struggling with the heat , if it ’ s the country comes to a stand still . - the country that can ’ t deal with any type of weather , love it 󠁧󠁢󠁳󠁣󠁴󠁿",Mixed,1,1,1,"['heat', 'country', 'stand', 'type', 'weather']",country
12775,19,272851963,lewywatson,2018-07-29,"If it , we have . If it ’ s sunny , we ’ re struggling with the heat , if it ’ s the country comes to a stand still . - the country that can ’ t deal with any type of weather , love it 󠁧󠁢󠁳󠁣󠁴󠁿",Mixed,1,1,1,"['heat', 'country', 'stand', 'type', 'weather']",stand
